category,location,old,new
Variable,Color / Base/gunmetal gray/100,gunmetal gray/100,gunmetal-gray/100
Variable,Color / Base/gunmetal gray/200,gunmetal gray/200,gunmetal-gray/200
Variable,Color / Base/gunmetal gray/300,gunmetal gray/300,gunmetal-gray/300
Variable,Color / Base/gunmetal gray/400,gunmetal gray/400,gunmetal-gray/400
Variable,Color / Base/gunmetal gray/50,gunmetal gray/50,gunmetal-gray/50
Variable,Color / Base/gunmetal gray/500,gunmetal gray/500,gunmetal-gray/500
Variable,Color / Base/gunmetal gray/600,gunmetal gray/600,gunmetal-gray/600
Variable,Color / Base/gunmetal gray/700,gunmetal gray/700,gunmetal-gray/700
Variable,Color / Base/gunmetal gray/800,gunmetal gray/800,gunmetal-gray/800
Variable,Color / Base/gunmetal gray/900,gunmetal gray/900,gunmetal-gray/900
Variable,Color / Director/Argent Blue/100,Argent Blue/100,argent-blue/100
Variable,Color / Director/Argent Blue/200,Argent Blue/200,argent-blue/200
Variable,Color / Director/Argent Blue/300,Argent Blue/300,argent-blue/300
Variable,Color / Director/Argent Blue/400,Argent Blue/400,argent-blue/400
Variable,Color / Director/Argent Blue/500,Argent Blue/500,argent-blue/500
Variable,Color / Director/Argent Blue/600,Argent Blue/600,argent-blue/600
Variable,Color / Director/Argent Blue/700,Argent Blue/700,argent-blue/700
Variable,Color / Director/Argent Blue/800,Argent Blue/800,argent-blue/800
Variable,Color / Director/Burnt Orange/400,Burnt Orange/400,burnt-orange/400
Variable,Color / Director/Burnt Orange/500,Burnt Orange/500,burnt-orange/500
Variable,Color / Director/Burnt Orange/600,Burnt Orange/600,burnt-orange/600
Variable,Color / Director/Cold Green/200,Cold Green/200,cold-green/200
Variable,Color / Director/Cold Green/300,Cold Green/300,cold-green/300
Variable,Color / Director/Cold Green/500,Cold Green/500,cold-green/500
Variable,Color / Director/Cold Green/600,Cold Green/600,cold-green/600
Variable,Color / Director/Cold Green/700,Cold Green/700,cold-green/700
Variable,Color / Director/Color,Color,legacy/white
Variable,Color / Director/NSW Blues/100,NSW Blues/100,nsw-blue/100
Variable,Color / Director/NSW Blues/200,NSW Blues/200,nsw-blue/200
Variable,Color / Director/NSW Blues/300,NSW Blues/300,nsw-blue/300
Variable,Color / Director/NSW Blues/400,NSW Blues/400,nsw-blue/400
Variable,Color / Director/NSW Blues/500,NSW Blues/500,nsw-blue/500
Variable,Color / Director/NSW Blues/600,NSW Blues/600,nsw-blue/600
Variable,Color / Director/NSW Blues/700,NSW Blues/700,nsw-blue/700
Variable,Color / Director/bright green/100,bright green/100,bright-green/100
Variable,Color / Director/bright green/200,bright green/200,bright-green/200
Variable,Color / Director/bright green/300,bright green/300,bright-green/300
Variable,Color / Director/bright green/400,bright green/400,bright-green/400
Variable,Color / Director/bright green/500,bright green/500,bright-green/500
Variable,Color / Director/bright green/600,bright green/600,bright-green/600
Variable,Color / Director/bright green/700,bright green/700,bright-green/700
Variable,Color / Director/bright green/800,bright green/800,bright-green/800
Variable,Color / Director/olive green/500,olive green/500,olive-green/500
Variable,Color / Director/olive green/500-18,olive green/500-18,olive-green/500-18
Variable,Color / Director/olive green/900,olive green/900,olive-green/900
Variable,Typography/letter-spacing/Extra Tight,letter-spacing/Extra Tight,letter-spacing/extra-tight
Variable,Typography/letter-spacing/Extra Wide,letter-spacing/Extra Wide,letter-spacing/extra-wide
Variable,Typography/letter-spacing/Medium,letter-spacing/Medium,letter-spacing/medium
Variable,Typography/letter-spacing/Narrow,letter-spacing/Narrow,letter-spacing/narrow
Variable,Typography/letter-spacing/None,letter-spacing/None,letter-spacing/none
Variable,Typography/letter-spacing/Normal,letter-spacing/Normal,letter-spacing/normal
Variable,Typography/letter-spacing/Small,letter-spacing/Small,letter-spacing/small
Variable,Typography/letter-spacing/Tight,letter-spacing/Tight,letter-spacing/tight
Variable,Typography/letter-spacing/Wide,letter-spacing/Wide,letter-spacing/wide
Variable collection,collection:UI,UI,Color / UI
Variable,Color / UI/accent/accent-argent,accent/accent-argent,accent/argent
Variable,Color / UI/accent/accent-blue,accent/accent-blue,accent/blue
Variable,Color / UI/accent/accent-gray,accent/accent-gray,accent/gray
Variable,Color / UI/accent/accent-green,accent/accent-green,accent/green
Variable,Color / UI/accent/accent-pink,accent/accent-pink,accent/pink
Variable,Color / UI/badges/active-bg,badges/active-bg,badge/active-bg
Variable,Color / UI/badges/active-border,badges/active-border,badge/active-border
Variable,Color / UI/badges/active-text,badges/active-text,badge/active-text
Variable,Color / UI/badges/category-blue-bg,badges/category-blue-bg,badge/category-blue-bg
Variable,Color / UI/badges/category-blue-border,badges/category-blue-border,badge/category-blue-border
Variable,Color / UI/badges/category-blue-text,badges/category-blue-text,badge/category-blue-text
Variable,Color / UI/badges/category-green-bg,badges/category-green-bg,badge/category-green-bg
Variable,Color / UI/badges/category-green-border,badges/category-green-border,badge/category-green-border
Variable,Color / UI/badges/category-green-text,badges/category-green-text,badge/category-green-text
Variable,Color / UI/badges/category-orange-bg,badges/category-orange-bg,badge/category-orange-bg
Variable,Color / UI/badges/category-orange-border,badges/category-orange-border,badge/category-orange-border
Variable,Color / UI/badges/category-orange-text,badges/category-orange-text,badge/category-orange-text
Variable,Color / UI/badges/category-pink-bg,badges/category-pink-bg,badge/category-pink-bg
Variable,Color / UI/badges/category-pink-border,badges/category-pink-border,badge/category-pink-border
Variable,Color / UI/badges/category-pink-text,badges/category-pink-text,badge/category-pink-text
Variable,Color / UI/badges/category-salmon-bg,badges/category-salmon-bg,badge/category-salmon-bg
Variable,Color / UI/badges/category-salmon-border,badges/category-salmon-border,badge/category-salmon-border
Variable,Color / UI/badges/category-salmon-text,badges/category-salmon-text,badge/category-salmon-text
Variable,Color / UI/badges/idle-bg,badges/idle-bg,badge/idle-bg
Variable,Color / UI/badges/idle-border,badges/idle-border,badge/idle-border
Variable,Color / UI/badges/idle-text,badges/idle-text,badge/idle-text
Variable,Color / UI/badges/info-bg,badges/info-bg,badge/info-bg
Variable,Color / UI/badges/info-border,badges/info-border,badge/info-border
Variable,Color / UI/badges/info-text,badges/info-text,badge/info-text
Variable,Color / UI/badges/nuetral-bg,badges/nuetral-bg,badge/neutral-bg
Variable,Color / UI/badges/nuetral-border,badges/nuetral-border,badge/neutral-border
Variable,Color / UI/badges/nuetral-text,badges/nuetral-text,badge/neutral-text
Variable,Color / UI/badges/warning-bg,badges/warning-bg,badge/warning-bg
Variable,Color / UI/badges/warning-border,badges/warning-border,badge/warning-border
Variable,Color / UI/badges/warning-text,badges/warning-text,badge/warning-text
Variable,Color / UI/buttons/hover-20,buttons/hover-20,button/hover-20
Variable,Color / UI/buttons/hover-40,buttons/hover-40,button/hover-40
Variable,Color / UI/buttons/hover-60,buttons/hover-60,button/hover-60
Variable,Color / UI/buttons/hover-80,buttons/hover-80,button/hover-80
Variable,Color / UI/buttons/primary-bg,buttons/primary-bg,button/primary-bg
Variable,Color / UI/buttons/primary-border,buttons/primary-border,button/primary-border
Variable,Color / UI/buttons/primary-text,buttons/primary-text,button/primary-text
Node,01 — Director / Feedback + Chat:93:10481:01 — Director / Feedback + Chat/Director / Result + Chat,Director / Result + Chat,Director / Feedback + Chat
Node,01 — Director / Feedback + Chat:93:10483:01 — Director / Feedback + Chat/Director / Feedback + Chat/sidebar/Sidebar / Sidebar,Sidebar / Sidebar,Navigation / Sidebar
Node,01 — Director / Feedback + Chat:I93:10483;14:679:01 — Director / Feedback + Chat/Director / Feedback + Chat/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:10483;14:679:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:679:Navigation / Item/State,active,Active
Instance property,01 — Director / Feedback + Chat:I93:10483;14:679:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:679:Navigation / Item/Size,large,Large
Node,01 — Director / Feedback + Chat:I93:10483;14:682:01 — Director / Feedback + Chat/Director / Feedback + Chat/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:10483;14:682:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:682:Navigation / Item/State,disabled,Disabled
Instance property,01 — Director / Feedback + Chat:I93:10483;14:682:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:682:Navigation / Item/Size,large,Large
Node,01 — Director / Feedback + Chat:I93:10483;14:684:01 — Director / Feedback + Chat/Director / Feedback + Chat/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:10483;14:684:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:684:Navigation / Item/State,disabled,Disabled
Instance property,01 — Director / Feedback + Chat:I93:10483;14:684:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:684:Navigation / Item/Size,large,Large
Node,01 — Director / Feedback + Chat:I93:10483;14:686:01 — Director / Feedback + Chat/Director / Feedback + Chat/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:10483;14:686:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:686:Navigation / Item/State,disabled,Disabled
Instance property,01 — Director / Feedback + Chat:I93:10483;14:686:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:686:Navigation / Item/Size,large,Large
Node,01 — Director / Feedback + Chat:I93:10483;14:688:01 — Director / Feedback + Chat/Director / Feedback + Chat/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:10483;14:688:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:688:Navigation / Item/State,disabled,Disabled
Instance property,01 — Director / Feedback + Chat:I93:10483;14:688:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:10483;14:688:Navigation / Item/Size,large,Large
